Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Detail,2023-09-27 19:59:58+00:00,6204,MK,,Cash,1045.0,5.0,52.25,,,22,Dine in,"BUTTER GARLIC NAAN,Phalguni Sabzi,Roti",
Detail,2023-09-08 21:09:19+00:00,5144,MK,,Cash,795.0,5.0,39.75,,,6,Dine in,Mushroom Galauti,
Detail,2023-08-23 23:19:47+00:00,4231,TD,,Cash,2750.0,5.0,137.5,,,PDR 6,Personal Dine In Room,"Crispy Corn,HOT FUDGE NUT SUNDAE,Kung Pao Patato,SZECHWAN NOODLE (VEG)",
Detail,2023-08-23 15:19:33+00:00,4187,TD,,Cash,1560.0,5.0,78.0,,,5,Dine in,"HOT POT NOODLES (VEG),Paneer Ke Shikanje",
Detail,2023-07-12 22:41:35+00:00,1572,MK,,Cash,1485.0,5.0,74.25,,,4,Dine in,"Hara Bhara Kabab,TOMATO SOUP,Veg Sweet Corn Soup",
Detail,2023-07-04 22:38:19+00:00,1156,Multiple,,Cash,3200.0,5.0,160.0,,,2,Dine in,"Dim Sum (VEG),FRESH LIME SODA,FUTCHI RICE (VEG),Manchow Soup (VEG),PANEER CHILLY DRY,Tom Yum Soup (VEG)",
Detail,2023-12-18 13:46:25+00:00,11507,MK,,Cash,1125.0,5.0,56.25,,,22,Dine in,"BUTTER GARLIC NAAN,Paneer Kofta Hara Masala",
Detail,2023-10-01 22:32:17+00:00,6474,SM,,Cash,3155.0,5.0,157.75,,,G 4,Garden Table,"Butter Baby Kulcha,DAL KHICHDI,Manchow Soup (VEG),Roti,Subzi Lahori",
Detail,2023-08-21 21:40:35+00:00,4112,TD,,Cash,1680.0,5.0,84.0,,,16,Dine in,"Crispy Spinach Paneer,Papad Masala,Subzi Kurkure Kebab",
Detail,2023-07-14 21:14:54+00:00,1665,SM,,Cash,1415.0,5.0,70.75,,,4,Dine in,"Manchow Soup (VEG),Multani Murgh,Roti",
Detail,2023-09-30 15:44:07+00:00,6327,MK,,Cash,2325.0,5.0,116.25,,,3,Dine in,"CORIANDER NOODLES (CHICKEN),Chilly Crispy Patato,Indian Malwani Bombil Fry",
Detail,2023-09-16 20:19:55+00:00,5628,UP,,Cash,1590.0,5.0,79.5,,,22,Dine in,"Exotic Stir Fried Vegetable,VEG SHEEK KABAB",
Detail,2023-07-12 21:57:03+00:00,1567,MK,,Cash,1925.0,5.0,96.25,,,4,Dine in,"Cottage Cheese With Three Peppers,Manchow Soup (VEG),SZECHWAN FRIED RICE (VEG)",
