Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
BAR CLASSIC COCKTAILS,Screw Driver (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Screw Driver (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Screw Driver (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Screw Driver (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (BALLANTINES),,750,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (BLACK LABEL),,990,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (CHIVAS REGAL),,990,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (GLENFIDDICH - 12 YEARS),,1400,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (GLENLIVET - 12 YEARS),,1400,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (TEACHER'S 50),,750,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (JACK DANIEL'S),,990,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (BLACK DOG),,750,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (JAMESON),,800,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (MONKEY SHOULDER),,1050,P,5
BAR CLASSIC COCKTAILS,Whisky Sour (DOUBLE BLACK),,1050,P,5
BAR CLASSIC COCKTAILS,Cosmopolitan (ABSOLUT),,725,P,5
BAR CLASSIC COCKTAILS,Cosmopolitan (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Cosmopolitan (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Cosmopolitan (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Cosmopolitan (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Manhattan (JACK DANIEL'S),,990,P,5
BAR CLASSIC COCKTAILS,Old Fashioned (JACK DANIEL'S),,990,P,5
BAR CLASSIC COCKTAILS,Old Fashioned (GLENFIDDICH - 12 YEARS),,1400,P,5
BAR CLASSIC COCKTAILS,Old Fashioned (BLACK LABEL),,990,P,5
BAR CLASSIC COCKTAILS,Old Fashioned (CHIVAS REGAL),,990,P,5
BAR CLASSIC COCKTAILS,Old Fashioned (DOUBLE BLACK),,1050,P,5
