Type,Missing_Item
Food Item,FORTUNE NOODLES (CHICKEN)
Food Item,SZECHWAN FRIED RICE (Egg)
Food Item,Hot Pot Noodles (Veg)
Food Item,Burnt Garlic Noodles (veg)
Food Item,Hot Pot Rice (veg)
Food Item,HONG KONG NOODLES (CHICKEN)
Food Item,Oriental Noodles (CHICKEN)
Food Item,American Chopsuey (veg)
Food Item,HOT POT NOODLES (CHICKEN)
Food Item,Fragrance Rice (VEG)
Food Item,Futchi Rice (veg)
Food Item,Spicy Lime Rice (Veg)
Food Item,Futchi Noodles (CHICKEN)
Food Item,Hakka Noodles (veg)
Food Item,Fortune Rice (veg)
Food Item,MALAYSIAN NOODLES (PRAWNS)
Food Item,Burnt Garlic Noodles (CHICKEN)
Food Item,SPICY LIME NOODLES (CHICKEN)
Food Item,Hakka Noodles (CHICKEN)
Food Item,Schezwan Fried Rice (Egg)
Food Item,Schezwan Noodles (Veg)
Food Item,SHANGHAI RICE (CHICKEN)
Food Item,ORIENTAL RICE (VEG)
Food Item,Burnt Garlic Rice (veg)
Food Item,Hot Pot Rice (CHICKEN)
Food Item,Hong Kong Noodles (Veg)
Food Item,Futchi Rice (CHICKEN)
Food Item,Hot Pot Noodles (CHICKEN)
Food Item,FORTUNE NOODLES (PRAWNS)
Food Item,FORTUNE RICE (FISH)
Food Item,HOT POT RICE (PRAWNS)
Food Item,HOT POT RICE (FISH)
Food Item,FORTUNE RICE (PRAWNS)
Food Item,TEACHER'S
Food Item,BLACK & WHITE
Food Item,BLACK LABEL
Food Item,CHIVAS REGAL
Food Item,J W Blonde
Food Item,Dewars
Food Item,BALLANTINES
Food Item,RED LABEL
Food Item,J & B
Food Item,TEACHER'S ORIGIN
Food Item,TEACHER'S 50
Food Item,BLACK DOG
Food Item,VAT 69
Food Item,DOUBLE BLACK
Food Item,MONKEY SHOULDER
Food Item,GOLD LABEL
Food Item,100 PIPER
Food Item,CHIVAS REGAL -18 YEARS
Food Item,Hara Bhara Kabab
Food Item,Chicken Kebabs (Murg Bemisal)
Food Item,Mutton Kebabs (Gilafi Sheekh)
Food Item,Chicken Kebabs (Patra Chicken)
Food Item,Mutton Kebabs (Lucknowi Sheekh)
Food Item,Chicken Kebabs (Chicken Angare)
Food Item,Chicken Kebabs (Chicken Malai)
Food Item,Chicken Kebabs (Chicken Reshmi)
Food Item,Tandoori Chicken (Full)
Food Item,Tandoori Chicken (FULL)
Food Item,Tandoori Platter (Non-Veg)
Food Item,Tandoori Chicken (Half)
Food Item,Tandoori Platter (VEG)
Food Item,Chicken Kebabs (Murg Lalwari)
Food Item,Tandoori Platter (Veg)
Food Item,Mutton Kebabs (Boti E Gulshan)
Food Item,Chicken Kebabs (Makhmali)
Food Item,Chicken Kebabs (Murg Chatpata)
Food Item,CHICKEN TIKKA (Pahadi)
Food Item,CHICKEN TIKKA (Jamaican)
Food Item,Chicken Tikka (Pahadi)
Food Item,Chicken Kebabs (Chicken Sheekh)
Food Item,Chicken Kebabs (Murg Nawabi Sheekh)
Food Item,Chicken Tikka (Jamaican)
Food Item,Chicken Kebabs (Murg Shikara)
Food Item,Chicken Kebabs (Murg Alishan)
Food Item,Chicken Kebabs (Murg Rusali)
Food Item,Tandoori Platter (NON-VEG)
Food Item,Doodhai Kabab
Food Item,Chicken Kebabs (Murg Grilled)
Food Item,Chicken Kebabs (Murg Dongri)
Food Item,Tandoori Chicken (HALF)
Food Item,Tandoori Platter (veg)
Food Item,Tandoori Platter (non-veg)
Food Item,Sweet Corn Soup (Chicken)
Food Item,Sweet Corn Soup (CHICKEN)
Food Item,Burnt Garlic Soup (VEG)
Food Item,Sour & Pepper Soup (VEG)
Food Item,Manchow Soup (VEG)
Food Item,Manchow Soup (CHICKEN)
Food Item,Lemon Coriander Soup (VEG)
Food Item,Sweet Corn Soup (VEG)
Food Item,Manchow Soup (Chicken)
Food Item,Talumein Soup (VEG)
Food Item,CLEAR SOUP (VEG)
Food Item,Manchow Soup (SEA FOOD)
Food Item,Sour & Pepper Soup (CHICKEN)
Food Item,Mustard Soup (VEG)
Food Item,Burnt Garlic Soup (CHICKEN)
Food Item,Tom Yum Soup (VEG)
Food Item,Tom Yum Soup (CHICKEN)
Food Item,Wonton & Noodle Soup (CHICKEN)
Food Item,Lemon Coriander (VEG)
Food Item,Tom Kha Soup (CHICKEN)
Food Item,Suimono Soup (VEG)
Food Item,Funci Tongi Soup (VEG)
Food Item,Lemon Coriander Soup (CHICKEN)
Food Item,Wonton & Noodle Soup (VEG)
Food Item,Mustard Soup (CHICKEN)
Food Item,CLEAR SOUP (CHICKEN)
Food Item,Suimono Soup (CHICKEN)
Food Item,Talumein Soup (CHICKEN)
Food Item,Lemon Coriander (CHICKEN)
Food Item,Funci Tongi Soup (CHICKEN)
Food Item,Tom Kha (CHICKEN)
Food Item,Tom Kha (VEG)
Food Item,Tom Yum Soup (SEA FOOD)
Food Item,Tom Kha (SEA FOOD)
Food Item,Sour & Pepper Soup (SEA FOOD)
Food Item,Burnt Garlic Soup (Chicken)
Food Item,Burnt Garlic Soup (Veg)
Food Item,Lemon Coriander (Chicken)
Food Item,Wonton & Noodle Soup (Chicken)
Food Item,Chicken Clear Soup (Veg)
Food Item,Chicken Clear Soup (Chicken)
Food Item,Sweet Corn Soup (Veg)
Food Item,Manchow Soup (Veg)
Food Item,Tom Yum Soup (Veg)
Food Item,Chicken Clear Soup (CHICKEN)
Food Item,Wonton & Noodle Soup (Veg)
Food Item,Tom Yum Soup (Chicken)
Food Item,Tom Kha (Chicken)
Food Item,Lemon Coriander (Veg)
Food Item,Clear Soup (Veg)
Food Item,Funci Tongi Soup (Veg)
Food Item,Manchow Soup (veg)
Food Item,Sour & Pepper Soup (Chicken)
Food Item,Mustard Soup (Veg)
Food Item,Talumein Soup (Chicken)
Food Item,Sweet Corn Soup (SEA FOOD)
Food Item,Wonton & Noodle Soup (Sea Food)
Food Item,Manchow Soup (Sea Food)
Food Item,Tom Kha Soup (VEG)
Food Item,Chicken Clear Soup (VEG)
Food Item,Suimono Soup (SEA FOOD)
Food Item,Burnt Garlic Soup (SEA FOOD)
