Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
Pepsi,BTL,48.0,,,
Peri Peri Masala,Kg,2.0,0.2,1.8,90.0
Perrier Carbonated Water,BTL,24.0,,,
Phulka Atta,Kg,10.0,,,
Pillsbury Chocolate Flavour Mix,Kg,10.0,,,
Pineapple Fruit,Kg,110.45000000000002,0.17,110.28000000000002,99.84608420099592
Pineapple Juice,PKT,4.0,,,
Pineapple Slice,TIN,4.0,,,
Piping Bag,PCS,10.0,,,
Pista,Kg,2.0,0.2870000000000001,1.7129999999999999,85.64999999999999
Pitambari,PKT,84.0,,,
Plain Noodles,PKT,6.0,,,
Plastic Cont With Lid 1000 Ml Rect,PKT,2.0,,,
Plastic Cont With Lid 250 Ml Rnd,PKT,20.0,,,
Plastic Cont With Lid 30 Ml,PKT,20.0,,,
Plastic Cont With Lid 450 Ml Rnd,PKT,16.0,,,
Plastic Cont With Lid 50 Ml,PKT,20.0,,,
Plastic Cont With Lid 750 Ml Rect,PKT,6.0,,,
Plum Sauce,BTL,2.0,,,
Poha,Kg,66.0,,,
Pok Choy,Kg,24.0,4.150000000000002,19.849999999999998,82.70833333333333
Pomegranate (anar),Kg,3.5,,,
Pomfret,Kg,87.3,0.4,86.89999999999999,99.54180985108819
Potato,Kg,547.0,22.454999999999973,524.5450000000001,95.8948811700183
Potato Starch,Kg,38.0,0.7960000000000006,37.204,97.90526315789474
Prawns Frozen 70/80,Kg,18.0,0.19,17.81,98.94444444444443
Quarter Plate,NOS,48.0,,,
Raddish,Kg,21.5,,,
Ragi Atta,Kg,2.0,,,
Rai,Kg,10.0,0.01,9.99,99.9
Rajma Chitra,Kg,23.0,11.799999999999983,11.200000000000017,48.69565217391312
Rawas Fish,Kg,24.5,3.64,20.86,85.14285714285714
Red Bull,CAN,24.0,,,
Red Cabbage,Kg,5.5,,,
Red Cherry,TIN,24.0,,,
Red La Reserve,BTL,3.0,,,
Red Pumpkin,Kg,21.0,,,
Red Romaine Lettuce,Kg,0.5,,,
Refind Oil,LTR,883.0,35.69899999999958,847.3010000000004,95.9570781426954
Register Book,NOS,4.0,,,
Reva R1,CAN,3.0,,,
Reva R2,CAN,4.0,,,
Reva R5,CAN,6.0,,,
Reva R6,CAN,2.0,,,
Reva-m Det,CAN,2.0,,,
Reva-m Rinse,CAN,1.0,,,
Rice Atta,Kg,10.0,,,
Rich Cooking Cream,PKT,6.0,,,
Rich Whip Topping Cream,PKT,10.0,,,
Rigatoni Pasta,PKT,1.0,,,
Risotto Rice,Kg,1.0,,,
Roasted Almond Slice Kulfi,PCS,20.0,6.0,14.0,70.0
Rose Water,BTL,5.0,1.1520000000000001,3.848,76.96
Royal Challenge,BTL,2.0,,,
Rubber Band,PKT,6.0,,,
Sabudana,Kg,5.0,,,
Sada Mawa,Kg,4.5,,,
Saffron (kesar),PKT,6.0,,,
Salt Sachet,PKT,1.0,,,
Salt Tata,PKT,150.0,29.94699999999923,120.05300000000076,80.03533333333385
Salt Whole,Kg,2.0,,,
Sambal Oleal Sauce,BTL,8.0,3.2499999999999996,4.75,59.375
Sambhar Masala,PKT,15.0,,,
Sarso Ka Sag,TIN,3.0,,,
Sesame Oil,BTL,1.0,0.11000000000000001,0.89,89.0
Sev,Kg,11.5,0.12000000000000001,11.38,98.95652173913044
Sevai,PKT,8.0,3.5,4.5,56.25
Shao Hsing Vinegar,BTL,1.0,0.01875,0.98125,98.125
Sheera Rava,Kg,61.0,,,
Shiitake Mushroom,Kg,1.0,1.5250000000000004,-0.5250000000000004,-52.500000000000036
Silver Container 450 Ml,PKT,21.0,,,
Silver Container 750 Ml,PKT,2.0,,,
Silver Foil,PCS,42.0,,,
Singapore Laksa Paste 190g,BTL,1.0,,,
Singleton,BTL,1.0,,,
Skull Cap,PKT,31.0,,,
Small Brinjel,Kg,6.0,,,
Small Crab Whole,Kg,23.700000000000003,,,
Smirnoff,BTL,3.0,,,
Snow Peas,Kg,1.75,,,
Soya Keema,Kg,3.0,,,
Soya Sauce Llk,BTL,36.0,,,
Soya Sauce Sing Cheung,BTL,18.0,,,
Spaghetti Pasta,PKT,6.0,,,
Spicy Banana Chips (red),Kg,130.0,,,
Spicy Banana Chips Standup Pouches,Piece,500.0,,,
Spinach,Kg,306.0,,,
Spring Onion,Kg,86.5,,,
Spring Sesame Oil,BTL,1.0,,,
Squid,Kg,6.5,1.65,4.85,74.6153846153846
Staff Rice,Kg,750.0,,,
Staff Veg,Kg,420.0,,,
Star Fool,Kg,1.5,0.2720000000000001,1.228,81.86666666666666
Steam Noodles,Kg,38.0,,,
Steel Scrubber,PCS,192.0,,,
Strawberry Crush,BTL,4.0,,,
Strawberry Filling,Kg,2.0,,,
Strawberry Ice Cream,LTR,4.0,0.27,3.73,93.25
Sugar,Kg,300.0,30.33599999999956,269.66400000000044,89.88800000000015
Sugar 5 Gm,PKT,10.0,,,
Surang,Kg,2.0,,,
Surmay Fish,Kg,14.0,2.0,12.0,85.71428571428571
Swa Coconut Syrup,BTL,12.0,,,
Swa Hazelnut Syrup,BTL,6.0,,,
Swa Hibiscus Cascara Syrup,BTL,12.0,,,
Swa Jamun Kala Khatta Syrup,BTL,6.0,,,
Sweet Chilly Sauce,BTL,1.0,,,
Sweet Corn Cream,TIN,24.0,2.853333333333333,21.14666666666667,88.11111111111111
Sweet Lemon,Kg,50.300000000000004,,,
Sweet Potato,Kg,7.0,,,
Sweet Soda,Kg,1.0,,,
Tabasco Sauce,BTL,12.0,,,
Tahina Paste,Kg,1.0,,,
Tamma Kaapi,PKT,150.0,,,
Tanqueray Gin,BTL,1.0,,,
Tea Darjeeling,PKT,2.0,,,
Tea Light Candle,PKT,3.0,,,
Tea Powder,Kg,25.0,,,
Teachers 50,BTL,2.0,,,
Teachers Highland Cream,BTL,1.0,,,
Tej Patta,Kg,0.5,0.08000000000000004,0.41999999999999993,83.99999999999999
Teriyaki Sauce,BTL,2.0,,,
The Glenlivet 12 Years,BTL,3.0,,,
Thums Up,BTL,360.0,,,
Tiger Prawns,Kg,40.8,,,
Tissue Paper Ettarra,PKT,100.0,,,
Tissue Paper Melting Pot,PKT,100.0,,,
Tissue Paper Ten One,PKT,50.0,,,
Tofu,Kg,3.0,0.9400000000000001,2.06,68.66666666666667
Toilet Roll,PKT,130.0,,,
Tom Yum Cube,PKT,12.0,1.1111111111111112,10.88888888888889,90.74074074074075
Tomato Ketchup,BTL,84.0,8.070000000000004,75.92999999999999,90.39285714285712
Tomato Ketchup Sachet,PKT,5.0,,,
Tomato Puree,TIN,48.0,32.48000000000002,15.519999999999982,32.3333333333333
Tomatos,Kg,968.0,,,
Tonic Water,CAN,96.0,,,
Toor Dal,Kg,120.0,41.39999999999999,78.60000000000001,65.5
Tooth Pick 500 Pc,PKT,10.0,,,
Tooth Pick Taj,PKT,3.0,,,
Tortilla Bread,PKT,5.0,,,
Triple Sec,BTL,2.0,,,
Ukda Rice Brown,Kg,5.7,,,
Urine Mat,PCS,4.0,,,
Vanilla Md Ice Cream,LTR,68.0,1.9199999999999997,66.08,97.17647058823529
Vanilla Sticks,JAR,2.0,,,
Vanilla Syrup,BTL,4.0,,,
Veg Mayonnaise,BTL,14.0,0.7000000000000001,13.3,95.0
Veg Oyester Sauce,BTL,24.0,9.750000000000007,14.249999999999993,59.374999999999964
Vermicelli Noodle,PKT,4.0,,,
Wafer Chips,PKT,10.0,,,
Wafer Potatos,Kg,382.0,,,
Walnuts,Kg,1.0,,,
Water Chestnuts,TIN,48.0,5.279999999999999,42.72,89.0
Water Melon,Kg,301.95000000000005,,,
Waves Of Malnad,Kg,3.0,,,
White Butter,Kg,0.5,,,
