Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Restaurant Tandoor,Dhaniya Whole,Kg,1.0,0.485,0.515,51.5
Restaurant Tandoor,Eggs,PCS,243.0,16664.0,-16421.0,-6757.61316872428
Restaurant Tandoor,Extra Hot & Spicy,Kg,1.0,,,
Restaurant Tandoor,Fresh Beans,Kg,32.0,3.2200000000000015,28.779999999999998,89.93749999999999
Restaurant Tandoor,Fresh Mushroom,Kg,49.1,36.32499999999999,12.775000000000013,26.01832993890023
Restaurant Tandoor,Ginger,Kg,7.5,3.398000000000002,4.1019999999999985,54.693333333333314
Restaurant Tandoor,Green Chilly,Kg,9.0,18.64699999999974,-9.64699999999974,-107.18888888888598
Restaurant Tandoor,Green Elaichi,Kg,0.15000000000000002,0.7962500000000006,-0.6462500000000005,-430.8333333333336
Restaurant Tandoor,Green Peas,PKT,5.0,4.956000000000001,0.04399999999999871,0.8799999999999742
Restaurant Tandoor,Haldi Powder,Kg,2.0,7.240000000000002,-5.240000000000002,-262.0000000000001
Restaurant Tandoor,Jamaican Jerk Seasonings,JAR,1.0,,,
Restaurant Tandoor,Jeera Whole,Kg,2.0,8.984000000000002,-6.984000000000002,-349.2000000000001
Restaurant Tandoor,Kaju Tukda,Kg,9.0,6.024000000000002,2.975999999999998,33.06666666666664
Restaurant Tandoor,Kashmiri Chilli,Kg,3.8,1.9520000000000004,1.8479999999999994,48.63157894736841
Restaurant Tandoor,Kashmiri Chilli Powder,PKT,2.0,0.05,1.95,97.5
Restaurant Tandoor,Kasuri Methi,PKT,3.0,34.87999999999952,-31.87999999999952,-1062.6666666666506
Restaurant Tandoor,Kishmish,Kg,0.75,,,
Restaurant Tandoor,Kitchen King,PKT,4.0,11.616000000000009,-7.6160000000000085,-190.4000000000002
Restaurant Tandoor,Lemon,Kg,33.5,2.887000000000002,30.613,91.38208955223881
Restaurant Tandoor,Maida,Kg,212.0,129.06700000000063,82.93299999999937,39.11933962264121
Restaurant Tandoor,Malai Paneer,Kg,124.0,334.8149999999996,-210.8149999999996,-170.01209677419322
Restaurant Tandoor,Milk 3 Fat,PKT,30.0,28.64999999999998,1.3500000000000192,4.500000000000064
Restaurant Tandoor,Mint Leaves,Kg,14.0,1.49,12.51,89.35714285714286
Restaurant Tandoor,Mustard Oil,BTL,11.0,,,
Restaurant Tandoor,Onion,Kg,114.0,27.169999999999945,86.83000000000006,76.16666666666671
Restaurant Tandoor,Papad Big,PKT,16.0,,,
Restaurant Tandoor,Peanut Roasted,Kg,9.0,,,
Restaurant Tandoor,Peel Garlic,Kg,53.0,61.60499999999928,-8.60499999999928,-16.235849056602415
Restaurant Tandoor,Peri Peri Masala,Kg,1.0,0.19999999999999998,0.8,80.0
Restaurant Tandoor,Potato,Kg,80.0,22.45499999999997,57.54500000000003,71.93125000000003
Restaurant Tandoor,Refind Oil,LTR,64.0,35.69899999999958,28.30100000000042,44.22031250000066
Restaurant Tandoor,Rose Water,BTL,2.0,1.1520000000000001,0.8479999999999999,42.39999999999999
Restaurant Tandoor,Salt Tata,PKT,8.0,29.94699999999923,-21.94699999999923,-274.33749999999037
Restaurant Tandoor,Spinach,Kg,60.0,,,
Restaurant Tandoor,Sugar,Kg,6.0,30.33599999999956,-24.33599999999956,-405.59999999999275
