Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Medium Prawns,Thursday,Kg,4070.0,3.7,4.233333333333333,-0.5333333333333332,-12.6
Poha,Wednesday,Kg,4030.0,13.0,10.833333333333332,2.166666666666668,20.0
Liquid Soup,Saturday,LTR,3964.8,210.0,122.5,87.5,71.43
Coconut Milk Powder,Sunday,PKT,3957.534,6.0,12.0,-6.0,-50.0
After Mint T One,Tuesday,PKT,3937.5,15.0,10.0,5.0,50.0
Chicken Leg Bonless,Tuesday,Kg,3900.0,6.5,5.685714285714285,0.814285714285715,14.32
Surmay Fish,Thursday,Kg,3850.0,3.5,4.15,-0.6500000000000004,-15.66
Paper Bag Big,Tuesday,NOS,3835.0,500.0,800.0,-300.0,-37.5
Paper Bag Small,Thursday,NOS,3835.0,500.0,500.0,0.0,0.0
Peanut Roasted,Sunday,Kg,3800.0,20.0,12.5,7.5,60.0
Tomatos,Wednesday,Kg,3800.0,19.0,23.615384615384617,-4.615384615384617,-19.54
Yellow Banana Chips,Thursday,Kg,3800.0,10.0,10.0,0.0,0.0
Chicken Supreme,Saturday,Kg,3720.0,4.0,3.1,0.8999999999999999,29.03
Potato,Thursday,Kg,3686.0,19.4,14.07142857142857,5.328571428571429,37.87
Rajma Chitra,Wednesday,Kg,3680.0,4.4,6.090909090909091,-1.6909090909090905,-27.76
Fresh Beans,Friday,Kg,3672.0,12.75,10.26923076923077,2.48076923076923,24.16
Fresh Beans,Sunday,Kg,3672.0,12.75,11.125,1.625,14.61
Char Magaz,Wednesday,Kg,3654.0,6.0,6.333333333333334,-0.3333333333333339,-5.26
Idli Wada,Friday,PCS,3630.001,8.25,7.636363636363637,0.6136363636363633,8.04
Bisleri 250 Ml,Wednesday,BTL,3600.007,720.0,1360.0,-640.0,-47.06
Chicken Breast Bonless,Wednesday,Kg,3600.0,4.0,5.5,-1.5,-27.27
Mango Pickle,Saturday,Kg,3600.0,15.0,15.0,0.0,0.0
Papad Big,Saturday,PKT,3600.0,10.0,10.0,0.0,0.0
Papad Big,Wednesday,PKT,3600.0,10.0,12.5,-2.5,-20.0
Tomatos,Friday,Kg,3600.0,22.5,34.38461538461539,-11.884615384615387,-34.56
Malai Kulfi,Monday,PCS,3540.0,25.0,24.0,1.0,4.17
Potato,Tuesday,Kg,3496.0,23.0,16.076923076923077,6.923076923076923,43.06
Heineken,Friday,BTL,3475.296,24.0,24.0,0.0,0.0
Char Magaz,Saturday,Kg,3465.0,6.0,6.0,0.0,0.0
Kashmiri Chilli Powder,Saturday,PKT,3465.0,3.0,4.0,-1.0,-25.0
Dukes Soda,Thursday,BTL,3455.996,216.0,112.0,104.0,92.86
Tissue Paper Ten One,Thursday,PKT,3422.0,50.0,50.0,0.0,0.0
Cheese Mozzarella,Sunday,Kg,3394.7200000000003,3.5,4.285714285714286,-0.7857142857142856,-18.33
Chana Dal,Wednesday,Kg,3360.0,5.6,5.299999999999999,0.3000000000000007,5.66
Chicken Supreme,Monday,Kg,3255.0,3.5,3.625,-0.125,-3.45
Eggs,Monday,PCS,3250.0,250.0,137.5,112.5,81.82
Medium Prawns,Saturday,Kg,3245.0,1.9666666666666666,3.94,-1.9733333333333334,-50.08
Prawns Frozen 70/80,Saturday,Kg,3240.0,6.0,4.333333333333334,1.666666666666666,38.46
Lemon,Sunday,Kg,3225.0,10.75,10.615384615384615,0.13461538461538503,1.27
Ice,Thursday,Kg,3220.0,92.0,80.0,12.0,15.0
Liquid Soup,Monday,LTR,3209.6,170.0,176.0,-6.0,-3.41
Fresh Beans,Saturday,Kg,3204.0,11.125,9.5,1.625,17.11
Wafer Potatos,Monday,Kg,3204.0,17.25,18.53846153846154,-1.28846153846154,-6.95
Spicy Banana Chips (red),Thursday,Kg,3200.0,10.0,10.0,0.0,0.0
Spicy Banana Chips (red),Wednesday,Kg,3200.0,10.0,10.0,0.0,0.0
Potato,Sunday,Kg,3192.0,21.0,19.53846153846154,1.46153846153846,7.48
Fresh Mushroom,Wednesday,Kg,3186.2,3.56,2.3818181818181814,1.1781818181818187,49.47
Fresh Mushroom,Thursday,Kg,3150.4,4.3999999999999995,3.571428571428572,0.8285714285714274,23.2
Chat Masala,Saturday,PKT,3150.0,20.0,25.0,-5.0,-20.0
Chat Masala,Thursday,PKT,3150.0,20.0,20.0,0.0,0.0
Cucumber,Wednesday,Kg,3150.0,18.0,16.615384615384617,1.3846153846153832,8.33
Lemon,Saturday,Kg,3150.0,10.5,9.461538461538463,1.0384615384615365,10.98
Aquafina Water 500 Ml,Tuesday,BTL,3120.0,480.0,480.0,0.0,0.0
Broccoli,Saturday,Kg,3120.0,4.0,2.923076923076923,1.076923076923077,36.84
Perrier Carbonated Water,Friday,BTL,3083.472,24.0,24.0,0.0,0.0
Dukes Soda,Monday,BTL,3072.001,192.0,144.0,48.0,33.33
Green Elaichi,Saturday,Kg,3045.0,0.5,0.5,0.0,0.0
Broccoli,Thursday,Kg,3022.5,3.1,2.5,0.6000000000000001,24.0
Vanilla Md Ice Cream,Saturday,LTR,3020.232,8.0,5.6,2.4000000000000004,42.86
Cucumber,Sunday,Kg,3010.0,21.5,21.307692307692314,0.1923076923076863,0.9
Fresh Mushroom,Monday,Kg,3007.2,4.2,4.707692307692308,-0.5076923076923077,-10.78
Chilli Pickle,Saturday,Kg,3000.0,10.0,7.5,2.5,33.33
Mutton Big Raan,Tuesday,Kg,3000.0,5.0,10.45,-5.449999999999999,-52.15
Staff Veg,Thursday,Kg,3000.0,15.0,16.07142857142857,-1.0714285714285694,-6.67
Ness Coffee,Tuesday,PKT,2980.98,2.0,2.75,-0.75,-27.27
Potato,Saturday,Kg,2964.0,19.5,17.92307692307692,1.5769230769230802,8.8
Cheese Mozzarella,Saturday,Kg,2956.8,6.0,3.8,2.2,57.89
Garbage Bags,Friday,Kg,2950.0,25.0,24.166666666666668,0.8333333333333321,3.45
Garbage Bags,Sunday,Kg,2950.0,25.0,25.0,0.0,0.0
Garbage Bags,Tuesday,Kg,2950.0,25.0,25.0,0.0,0.0
Ice,Wednesday,Kg,2940.0,84.0,78.75,5.25,6.67
Jeera Whole,Saturday,Kg,2940.0,4.0,6.0,-2.0,-33.33
Jeera Whole,Thursday,Kg,2940.0,8.0,5.5,2.5,45.45
Sweet Lemon,Monday,Kg,2920.0,18.25,5.533333333333333,12.716666666666667,229.82
Cheese Mozzarella,Tuesday,Kg,2909.76,6.0,4.0,2.0,50.0
Cucumber,Thursday,Kg,2905.0,20.75,14.928571428571429,5.821428571428571,39.0
Ice,Saturday,Kg,2905.0,103.75,94.33333333333333,9.416666666666671,9.98
Cream Cheese,Wednesday,Kg,2895.292,4.0,4.0,0.0,0.0
Cream Cheese,Tuesday,Kg,2890.764,4.0,1.5,2.5,166.67
Sheera Rava,Wednesday,Kg,2880.0,12.0,9.583333333333332,2.416666666666668,25.22
Fresh Beans,Monday,Kg,2844.0,9.875,14.192307692307692,-4.317307692307692,-30.42
Salt Tata,Thursday,PKT,2800.0,50.0,50.0,0.0,0.0
Chicken Supreme,Sunday,Kg,2790.0,3.0,4.166666666666667,-1.166666666666667,-28.0
Lemon,Wednesday,Kg,2775.0,7.4,7.708333333333334,-0.30833333333333357,-4.0
Chicken Supreme,Friday,Kg,2770.0,2.25,2.8,-0.5499999999999998,-19.64
Cling Foil,Friday,ROLL,2761.2,6.0,4.5,1.5,33.33
Cling Foil,Tuesday,ROLL,2761.2,6.0,6.0,0.0,0.0
Thums Up,Friday,BTL,2750.004,120.0,80.0,40.0,50.0
Medium Prawns,Tuesday,Kg,2750.0,2.5,5.0,-2.5,-50.0
Pomfret,Monday,Kg,2750.0,2.2,4.3,-2.0999999999999996,-48.84
Ice,Sunday,Kg,2730.0,97.5,89.58333333333334,7.916666666666657,8.84
Bombay Sapphire,Saturday,BTL,2716.19,1.0,1.0,0.0,0.0
Potato,Monday,Kg,2698.0,17.75,17.923076923076927,-0.1730769230769269,-0.97
Red Bull,Friday,CAN,2686.968,24.0,24.0,0.0,0.0
Wafer Potatos,Thursday,Kg,2668.0,19.333333333333332,13.692307692307692,5.6410256410256405,41.2
