Item_Name_k,Preparation_Time_Taken_Mins_k
CAKE - N.c,71.654233576642326
MUTTON SUKHA,71.980476190476182
KINGFISHER STRONG,72.096404255319086
SINGLETON,72.2
Coastal Rawas (Gassi),72.380540540540551
Assorted Indian Breads ( 7 Types ),72.519078947368442
Cosmopolitan (BELVEDERE),72.62
Lobster (600 GMS),72.672
Indian Pompfret,72.905
DIET COKE,72.9173639774857
Budweiser Magnum,73.101824817518235
Prawns Tom Kha Soup,73.28083333333332
AMERICAN CHOPSUEY (VEG),73.377450980392155
Negroni (TANQUERAY),73.504166666666677
Chilli Chicken,73.540963636363657
Coastal Rawas,73.55
Coastal Surmai (Malwani Fry),73.56625
The Glenlivet 18 Years,73.956428571428575
BACARDI BLACK,74.001851851851839
Sex On The Beach (REGULAR),74.046875
Jal Jeera,74.184770318021179
Coastal Clams,74.242
CARLSBERG,74.323122362869185
Chinese Surmai,74.345333333333329
Lobster (500 GMS),74.403448275862075
SAUZA (SILVER),74.704000000000008
Crab (600 GMS),74.714999999999989
Papad Masala,74.840490430621912
Chicken Kebabs (Murg Grilled),74.883902439024425
Virgin Daiquiri,74.92
FRESH LIME SODA,74.994294858971813
White Lady (MONKEY 47),75.11666666666666
Pompfret (400 GMS),75.117540983606588
Norm Inida,75.29
PALAK KHICHDI,75.377241379310334
Indian Pompfret (500 GMS),75.38
Coastal Surmai (Mallipuram),75.71
Sol Kadi,75.71568093385217
Gimlet (GORDON'S),75.87
Chinese Crab (REGULAR),75.941333333333318
Dalmore 12 Years,75.9625
PANEER PAHADI TIKKA,76.025882352941181
Macallan 12 Yrs,76.071000000000012
SIEMPRE REPOSADO,76.123636363636351
Bloody Mary (KETEL ONE),76.25
VEG MANCHURIAN DRY,76.300166666666669
Coastal Rawas (Goan Green Curry),76.31
SMIRNOFF FLAVOUR,76.836086956521726
PANEER HAKKA STYLE,76.903939393939382
100 PIPER,76.922777777777739
THAI CURRY RED (CHICKEN),77.011428571428581
Talumein Soup (CHICKEN),77.0190625
Blue Lagoon (REGULAR),77.027692307692291
Assorted Stir Fried Vegetable Salt & Pepper,77.076754385964875
J & B,77.1625
PEPSI,77.231492957746411
Lobster (800 GMS),77.294375
Cheese Aur Subz Ki Sheek,77.363937499999992
Jacobs Cabernet Shiraz By Glass,77.38
Rawas (Goan Green Curry),77.4025
Gimlet (BOMBAY SAPPHIRE),77.412307692307721
PLAIN GASSI,77.581395348837191
Healthy Wealthy Salad,77.606947368421061
Devil Chicken,77.625761589403936
Cranberry Classic,77.697499999999991
Heaven Melon (ABSOLUT),77.698000000000008
BAILEY'S IRISH CREAM,77.772535211267623
Hari Subzi Aur Makai Ki Sheek,77.917979797979811
Tandoori Prawns REG,77.986428571428576
Dim Sum (FISH),78.175000000000011
LAPHROAIG 10 YEARS,78.178297872340437
Blue Sea,78.354822064056975
Mutton Kebabs (Boti E Gulshan),78.389021739130442
