Invoice_No_,Date,Change_Log
1169,2024-04-21 22:20:06+00:00,"Order (Bill No.: F1169, Amount: 13781) is created by vijay (vijay shetty), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-04-21 22:20:06Order (Bill No.: F1169) total amount changed from 13781 to 13125 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-21 22:23:16"
1059,2024-04-20 22:08:33+00:00,"Order (Bill No.: F1059, Amount: 2122) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 22:08:33Order (Bill No.: F1059) total amount changed from 2122 to 2021 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-20 22:11:30"
1054,2024-04-20 21:47:26+00:00,"Order (Bill No.: F1054, Amount: 1940) is created by TAPASH (TAPASH), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 21:47:26Order (Bill No.: F1054) total amount changed from 1940 to 1836 by RAM (RAM RATHORE. ) (Order modify comment: just for test) (Electron Pos) - 2024-04-20 21:51:23"
1023,2024-04-20 15:04:45+00:00,"Order (Bill No.: F1023, Amount: 4107) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-20 15:04:45Order (Bill No.: F1023) total amount changed from 4107 to 3911 by sachindra (sachindra. ) (Order modify comment: yes) (Electron Pos) - 2024-04-20 15:09:30"
288,2024-04-19 22:45:02+00:00,Order (Bill No.: B288) total amount changed from 1320 to 1260 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-19 22:50:06
1002,2024-04-19 22:45:01+00:00,"Order (Bill No.: F1002, Amount: 12089) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-04-19 22:45:01Order (Bill No.: F1002) total amount changed from 12089 to 11513 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-19 22:49:49"
990,2024-04-19 21:33:32+00:00,"Order (Bill No.: F990, Amount: 9074) is created by TAPASH (TAPASH), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-19 21:33:32Order (Bill No.: F990) total amount changed from 9074 to 8642 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-19 21:36:42"
949,2024-04-18 22:29:05+00:00,"Order (Bill No.: F949, Amount: 2696) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-18 22:29:05Order (Bill No.: F949) total amount changed from 2696 to 2567 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-04-18 22:32:05"
846,2024-04-16 21:50:54+00:00,"Order (Bill No.: F846, Amount: 6825) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 21:50:54Order (Bill No.: F846) total amount changed from 6825 to 6500 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 21:51:23"
839,2024-04-16 20:59:21+00:00,"Order (Bill No.: F839, Amount: 2630) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 20:59:21Order (Bill No.: F839) total amount changed from 2630 to 2504 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 21:01:19"
836,2024-04-16 20:51:13+00:00,"Order (Bill No.: F836, Amount: 3749) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-04-16 20:51:13Order (Bill No.: F836) total amount changed from 3749 to 3570 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-16 20:54:27"
785,2024-04-15 00:01:08+00:00,"Order (Bill No.: F785, Amount: 6207) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-15 00:01:08Order (Bill No.: F785) total amount changed from 6207 to 5912 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-15 00:03:36"
768,2024-04-14 22:41:17+00:00,"Order (Bill No.: F768, Amount: 2679) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-04-14 22:41:17Order (Bill No.: F768) total amount changed from 2679 to 2552 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-04-14 22:43:59"
705,2024-04-14 14:28:40+00:00,Order (Bill No.: F705) total amount changed from 7023 to 3512 by sachindra (sachindra. ) (Order modify comment: sairaj) (Electron Pos) - 2024-04-14 14:33:12
